epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.469,1.32346,1.30064,1.3203,0.86427,0.78683,0.8668,0.65338,0.86659,0.60475,0.96185,0.00333029,0.00333029,0.00333029
2,781.747,1.24366,0.96001,1.26068,0.86303,0.76093,0.84923,0.62727,0.92219,0.71446,0.99762,0.00653168,0.00653168,0.00653168
3,1166.3,1.33112,1.09816,1.31158,0.85831,0.70988,0.79405,0.55514,1.08161,0.92999,1.07396,0.00960108,0.00960108,0.00960108
4,1551.12,1.44664,1.28365,1.40057,0.84273,0.71393,0.78309,0.55297,1.0777,0.93713,1.10134,0.009406,0.009406,0.009406
5,1933.7,1.40395,1.1776,1.3726,0.84161,0.71886,0.80143,0.57299,1.02716,0.82406,1.05633,0.009208,0.009208,0.009208
6,2313.59,1.35807,1.10048,1.34634,0.88319,0.75983,0.84201,0.61446,0.9738,0.74494,1.04521,0.00901,0.00901,0.00901
7,2695.38,1.30412,1.03661,1.31929,0.87871,0.7492,0.82408,0.61457,0.95699,0.71362,1.03979,0.008812,0.008812,0.008812
8,3077.92,1.2856,0.99927,1.30447,0.87314,0.7759,0.84252,0.61951,0.94459,0.68938,1.03881,0.008614,0.008614,0.008614
9,3470.43,1.26995,0.95701,1.29135,0.89755,0.77644,0.86239,0.64044,0.91785,0.65969,1.02276,0.008416,0.008416,0.008416
10,3857.08,1.2302,0.91799,1.26639,0.88321,0.77841,0.86885,0.64855,0.89459,0.66721,1.00888,0.008218,0.008218,0.008218
11,4240.72,1.22105,0.89956,1.2658,0.88829,0.7887,0.86845,0.64943,0.89791,0.64311,0.99596,0.00802,0.00802,0.00802
12,4619.31,1.20475,0.86803,1.25112,0.88582,0.79933,0.87754,0.66941,0.87937,0.59449,1.00427,0.007822,0.007822,0.007822
13,4987.87,1.19384,0.85723,1.24328,0.90193,0.7995,0.88199,0.67492,0.85635,0.59359,0.99233,0.007624,0.007624,0.007624
14,5359.15,1.15717,0.82463,1.22805,0.8983,0.8099,0.88102,0.67721,0.85261,0.58312,0.99304,0.007426,0.007426,0.007426
15,5729.57,1.14971,0.80586,1.21909,0.91207,0.79916,0.89205,0.69035,0.85065,0.57541,0.99345,0.007228,0.007228,0.007228
16,6108.9,1.13433,0.7902,1.21022,0.90549,0.80564,0.89139,0.68712,0.84694,0.57578,0.97985,0.00703,0.00703,0.00703
17,6481.94,1.1233,0.76378,1.19794,0.88519,0.82911,0.89303,0.68874,0.81642,0.546,0.96485,0.006832,0.006832,0.006832
18,6846.5,1.1175,0.75971,1.1998,0.89851,0.82212,0.89289,0.69245,0.82751,0.55294,0.97768,0.006634,0.006634,0.006634
19,7210.42,1.09793,0.74768,1.18937,0.91831,0.81427,0.90028,0.69562,0.82025,0.53772,0.96523,0.006436,0.006436,0.006436
20,7573.99,1.08246,0.72483,1.17787,0.90838,0.83209,0.90053,0.70435,0.79446,0.56578,0.95086,0.006238,0.006238,0.006238
21,7937.44,1.0788,0.71546,1.17258,0.90045,0.84347,0.90643,0.71159,0.7955,0.52106,0.95087,0.00604,0.00604,0.00604
22,8299.88,1.0657,0.70094,1.16883,0.90736,0.83265,0.90593,0.71428,0.77777,0.49435,0.9444,0.005842,0.005842,0.005842
23,8662.9,1.05107,0.69312,1.15636,0.90894,0.82984,0.90235,0.71216,0.76829,0.50501,0.94008,0.005644,0.005644,0.005644
24,9025.57,1.05053,0.68591,1.15239,0.90774,0.84303,0.90846,0.72288,0.78399,0.50511,0.94726,0.005446,0.005446,0.005446
25,9388.01,1.04195,0.67654,1.1518,0.92025,0.84131,0.91001,0.72349,0.77384,0.4938,0.95238,0.005248,0.005248,0.005248
26,9750.57,1.03386,0.66629,1.14466,0.9075,0.83716,0.90451,0.71849,0.77866,0.48977,0.95034,0.00505,0.00505,0.00505
27,10113.1,1.01779,0.65241,1.14198,0.91524,0.84023,0.91222,0.72244,0.77822,0.47133,0.96306,0.004852,0.004852,0.004852
28,10475.8,1.00586,0.63884,1.13121,0.92648,0.83845,0.91164,0.72775,0.78282,0.48016,0.95976,0.004654,0.004654,0.004654
29,10838,1.00613,0.62688,1.13028,0.92421,0.83488,0.9129,0.72746,0.76972,0.52235,0.94985,0.004456,0.004456,0.004456
30,11199.6,0.99959,0.62893,1.12922,0.92754,0.83114,0.91708,0.7317,0.76728,0.49032,0.94725,0.004258,0.004258,0.004258
31,11561.4,0.98322,0.61105,1.11682,0.9159,0.85477,0.91803,0.73253,0.76269,0.48172,0.94589,0.00406,0.00406,0.00406
32,11923.4,0.97904,0.60973,1.11422,0.91349,0.85518,0.91794,0.73806,0.74251,0.47652,0.9357,0.003862,0.003862,0.003862
